Frequency [Hz] - Fit Points;Amplitude - Fit Points;Frequency [Hz] - Fit Curve;Amplitude - Fit Curve;Frequency [Hz] - Histogram;Amplitude - Histogram
865,554;0;500;0;865,554;60
979,218;0;509,5;0;979,218;13
1092,883;0;519;0;1092,883;5
1206,547;0;528,5;0;1206,547;2
4730,145;0,0172999;538;0;1320,212;0
4843,809;2,09457;547,5;0;1433,876;1
4957,474;46,3013;557;0;1547,541;0
5071,138;186,87;566,5;0;1661,205;0
5184,802;137,7;576;0;1774,869;0
5298,467;18,5258;585,5;0;1888,534;0
;;595;0;2002,198;0
;;604,5;0;2115,863;0
;;614;0;2229,527;0
;;623,5;0;2343,192;0
;;633;0;2456,856;0
;;642,5;0;2570,52;0
;;652;0;2684,185;0
;;661,5;0;2797,849;0
;;671;0;2911,514;0
;;680,5;0;3025,178;0
;;690;0;3138,843;0
;;699,5;0;3252,507;0
;;709;0;3366,172;0
;;718,5;0;3479,836;0
;;728;0;3593,5;0
;;737,5;0;3707,165;0
;;747;0;3820,829;0
;;756,5;0;3934,494;0
;;766;0;4048,158;0
;;775,5;0;4161,823;0
;;785;0;4275,487;0
;;794,5;0;4389,151;0
;;804;0;4502,816;0
;;813,5;0;4616,48;0
;;823;0;4730,145;1
;;832,5;0;4843,809;1
;;842;0;4957,474;50
;;851,5;0;5071,138;221
;;861;0;5184,802;155
;;870,5;0;5298,467;25
;;880;0;;
;;889,5;0;;
;;899;0;;
;;908,5;0;;
;;918;0;;
;;927,5;0;;
;;937;0;;
;;946,5;0;;
;;956;0;;
;;965,5;0;;
;;975;0;;
;;984,5;0;;
;;994;0;;
;;1003,5;0;;
;;1013;0;;
;;1022,5;0;;
;;1032;0;;
;;1041,5;0;;
;;1051;0;;
;;1060,5;0;;
;;1070;0;;
;;1079,5;0;;
;;1089;0;;
;;1098,5;0;;
;;1108;0;;
;;1117,5;0;;
;;1127;0;;
;;1136,5;0;;
;;1146;0;;
;;1155,5;0;;
;;1165;0;;
;;1174,5;0;;
;;1184;0;;
;;1193,5;0;;
;;1203;0;;
;;1212,5;0;;
;;1222;0;;
;;1231,5;0;;
;;1241;0;;
;;1250,5;0;;
;;1260;0;;
;;1269,5;0;;
;;1279;0;;
;;1288,5;0;;
;;1298;0;;
;;1307,5;0;;
;;1317;0;;
;;1326,5;0;;
;;1336;0;;
;;1345,5;0;;
;;1355;0;;
;;1364,5;0;;
;;1374;0;;
;;1383,5;0;;
;;1393;0;;
;;1402,5;0;;
;;1412;0;;
;;1421,5;0;;
;;1431;0;;
;;1440,5;0;;
;;1450;0;;
;;1459,5;0;;
;;1469;0;;
;;1478,5;0;;
;;1488;0;;
;;1497,5;0;;
;;1507;0;;
;;1516,5;0;;
;;1526;0;;
;;1535,5;0;;
;;1545;0;;
;;1554,5;0;;
;;1564;0;;
;;1573,5;0;;
;;1583;0;;
;;1592,5;0;;
;;1602;0;;
;;1611,5;0;;
;;1621;0;;
;;1630,5;0;;
;;1640;0;;
;;1649,5;0;;
;;1659;0;;
;;1668,5;0;;
;;1678;0;;
;;1687,5;0;;
;;1697;0;;
;;1706,5;0;;
;;1716;0;;
;;1725,5;0;;
;;1735;0;;
;;1744,5;0;;
;;1754;0;;
;;1763,5;0;;
;;1773;0;;
;;1782,5;0;;
;;1792;0;;
;;1801,5;0;;
;;1811;0;;
;;1820,5;0;;
;;1830;0;;
;;1839,5;0;;
;;1849;0;;
;;1858,5;0;;
;;1868;0;;
;;1877,5;0;;
;;1887;0;;
;;1896,5;0;;
;;1906;0;;
;;1915,5;0;;
;;1925;0;;
;;1934,5;0;;
;;1944;0;;
;;1953,5;0;;
;;1963;0;;
;;1972,5;0;;
;;1982;0;;
;;1991,5;0;;
;;2001;0;;
;;2010,5;0;;
;;2020;0;;
;;2029,5;0;;
;;2039;0;;
;;2048,5;0;;
;;2058;0;;
;;2067,5;0;;
;;2077;0;;
;;2086,5;0;;
;;2096;0;;
;;2105,5;0;;
;;2115;0;;
;;2124,5;0;;
;;2134;0;;
;;2143,5;0;;
;;2153;0;;
;;2162,5;0;;
;;2172;0;;
;;2181,5;0;;
;;2191;0;;
;;2200,5;0;;
;;2210;0;;
;;2219,5;0;;
;;2229;0;;
;;2238,5;0;;
;;2248;0;;
;;2257,5;0;;
;;2267;0;;
;;2276,5;0;;
;;2286;0;;
;;2295,5;0;;
;;2305;0;;
;;2314,5;0;;
;;2324;0;;
;;2333,5;0;;
;;2343;0;;
;;2352,5;0;;
;;2362;0;;
;;2371,5;0;;
;;2381;0;;
;;2390,5;0;;
;;2400;0;;
;;2409,5;0;;
;;2419;0;;
;;2428,5;0;;
;;2438;0;;
;;2447,5;0;;
;;2457;0;;
;;2466,5;0;;
;;2476;0;;
;;2485,5;0;;
;;2495;0;;
;;2504,5;0;;
;;2514;0;;
;;2523,5;0;;
