Frequency [Hz] - Fit Points	Amplitude - Fit Points	Frequency [Hz] - Fit Curve	Amplitude - Fit Curve	Frequency [Hz] - Histogram	Amplitude - Histogram
572,129	0	500	0	572,129	88
698,849	0	508	0	698,849	17
825,57	0	516	0	825,57	3
5007,343	14,0131	524	0	952,29	0
5134,063	61,0555	532	0	1079,011	0
5260,784	119,916	540	0	1205,731	0
5387,504	106,167	548	0	1332,451	0
5514,224	42,3708	556	0	1459,172	0
		564	0	1585,892	0
		572	0	1712,613	0
		580	0	1839,333	0
		588	0	1966,053	0
		596	0	2092,774	0
		604	0	2219,494	0
		612	0	2346,215	0
		620	0	2472,935	0
		628	0	2599,655	0
		636	0	2726,376	0
		644	0	2853,096	0
		652	0	2979,817	0
		660	0	3106,537	0
		668	0	3233,257	0
		676	0	3359,978	0
		684	0	3486,698	0
		692	0	3613,419	0
		700	0	3740,139	0
		708	0	3866,859	0
		716	0	3993,58	0
		724	0	4120,3	0
		732	0	4247,021	0
		740	0	4373,741	0
		748	0	4500,461	0
		756	0	4627,182	0
		764	0	4753,902	0
		772	0	4880,623	0
		780	0	5007,343	17
		788	0	5134,063	66
		796	0	5260,784	121
		804	0	5387,504	152
		812	0	5514,224	49
		820	0		
		828	0		
		836	0		
		844	0		
		852	0		
		860	0		
		868	0		
		876	0		
		884	0		
		892	0		
		900	0		
		908	0		
		916	0		
		924	0		
		932	0		
		940	0		
		948	0		
		956	0		
		964	0		
		972	0		
		980	0		
		988	0		
		996	0		
		1004	0		
		1012	0		
		1020	0		
		1028	0		
		1036	0		
		1044	0		
		1052	0		
		1060	0		
		1068	0		
		1076	0		
		1084	0		
		1092	0		
		1100	0		
		1108	0		
		1116	0		
		1124	0		
		1132	0		
		1140	0		
		1148	0		
		1156	0		
		1164	0		
		1172	0		
		1180	0		
		1188	0		
		1196	0		
		1204	0		
		1212	0		
		1220	0		
		1228	0		
		1236	0		
		1244	0		
		1252	0		
		1260	0		
		1268	0		
		1276	0		
		1284	0		
		1292	0		
		1300	0		
		1308	0		
		1316	0		
		1324	0		
		1332	0		
		1340	0		
		1348	0		
		1356	0		
		1364	0		
		1372	0		
		1380	0		
		1388	0		
		1396	0		
		1404	0		
		1412	0		
		1420	0		
		1428	0		
		1436	0		
		1444	0		
		1452	0		
		1460	0		
		1468	0		
		1476	0		
		1484	0		
		1492	0		
		1500	0		
		1508	0		
		1516	0		
		1524	0		
		1532	0		
		1540	0		
		1548	0		
		1556	0		
		1564	0		
		1572	0		
		1580	0		
		1588	0		
		1596	0		
		1604	0		
		1612	0		
		1620	0		
		1628	0		
		1636	0		
		1644	0		
		1652	0		
		1660	0		
		1668	0		
		1676	0		
		1684	0		
		1692	0		
		1700	0		
		1708	0		
		1716	0		
		1724	0		
		1732	0		
		1740	0		
		1748	0		
		1756	0		
		1764	0		
		1772	0		
		1780	0		
		1788	0		
		1796	0		
		1804	0		
		1812	0		
		1820	0		
		1828	0		
		1836	0		
		1844	0		
		1852	0		
		1860	0		
		1868	0		
		1876	0		
		1884	0		
		1892	0		
		1900	0		
		1908	0		
		1916	0		
		1924	0		
		1932	0		
		1940	0		
		1948	0		
		1956	0		
		1964	0		
		1972	0		
		1980	0		
		1988	0		
		1996	0		
		2004	0		
		2012	0		
		2020	0		
		2028	0		
		2036	0		
		2044	0		
		2052	0		
		2060	0		
		2068	0		
		2076	0		
		2084	0		
		2092	0		
		2100	0		
		2108	0		
		2116	0		
		2124	0		
		2132	0		
		2140	0		
		2148	0		
		2156	0		
		2164	0		
		2172	0		
		2180	0		
		2188	0		
		2196	0		
		2204	0		
		2212	0		
		2220	0		
		2228	0		
		2236	0		
		2244	0		
		2252	0		
		2260	0		
		2268	0		
		2276	0		
		2284	0		
		2292	0		
		2300	0		
		2308	0		
		2316	0		
		2324	0		
		2332	0		
		2340	0		
		2348	0		
		2356	0		
		2364	0		
		2372	0		
		2380	0		
		2388	0		
		2396	0		
		2404	0		
		2412	0		
		2420	0		
		2428	0		
		2436	0		
		2444	0		
		2452	0		
		2460	0		
		2468	0		
		2476	0		
		2484	0		
		2492	0		
		2500	0		
		2508	0		
		2516	0		
		2524	0		
		2532	0		
		2540	0		
		2548	0		
		2556	0		
		2564	0		
		2572	0		
		2580	0		
		2588	0		
		2596	0		
		2604	0		
		2612	0		
		2620	0		
		2628	0		
		2636	0		
		2644	0		
		2652	0		
		2660	0		
		2668	0		
		2676	0		
		2684	0		
		2692	0		
		2700	0		
		2708	0		
		2716	0		
		2724	0		
		2732	0		
		2740	0		
		2748	0		
		2756	0		
		2764	0		
		2772	0		
		2780	0		
		2788	0		
		2796	0		
		2804	0		
		2812	0		
		2820	0		
		2828	0		
		2836	0		
		2844	1E-63		
		2852	2E-63		
		2860	5E-63		
		2868	1,3E-62		
		2876	3,5E-62		
		2884	9,1E-62		
		2892	2,37E-61		
