Frequency [Hz] - Fit Points,Amplitude - Fit Points,Frequency [Hz] - Fit Curve,Amplitude - Fit Curve,Frequency [Hz] - Histogram,Amplitude - Histogram
818.024,11.2208,500,0.119626,818.024,16
840.629,13.218,509.5,0.145552,840.629,19
863.235,15.2457,519,0.176439,863.235,15
885.84,17.2172,528.5,0.213084,885.84,17
908.446,19.0377,538,0.256383,908.446,28
931.051,20.6112,547.5,0.307333,931.051,23
953.656,21.8488,557,0.367038,953.656,17
976.262,22.6772,566.5,0.436711,976.262,25
998.867,23.0455,576,0.517677,998.867,27
1021.473,22.9308,585.5,0.611372,1021.473,23
1044.078,22.3403,595,0.719338,1044.078,17
1066.683,21.3106,604.5,0.843223,1066.683,28
1089.289,19.9039,614,0.984767,1089.289,26
1111.894,18.2019,623.5,1.14579,1111.894,23
1134.5,16.2979,633,1.32819,1134.5,30
1157.105,14.2883,642.5,1.5339,1157.105,21
1179.71,12.265,652,1.76487,1179.71,19
1202.316,10.3084,661.5,2.02307,1202.316,20
1224.921,8.48306,671,2.31043,1224.921,12
1247.527,6.83516,680.5,2.62878,1247.527,7
1270.132,5.39238,690,2.97987,1270.132,10
1292.737,4.16533,699.5,3.36529,1292.737,2
1315.343,3.15031,709,3.78642,1315.343,3
1337.948,2.33289,718.5,4.24441,1337.948,7
1383.159,1.20084,728,4.7401,1360.554,0
1450.975,0.378568,737.5,5.27398,1383.159,1
1496.186,0.157796,747,5.84617,1405.764,0
1541.397,0.0604498,756.5,6.45633,1428.37,0
1699.635,0.00108213,766,7.10365,1450.975,1
,,775.5,7.7868,1473.581,0
,,785,8.5039,1496.186,1
,,794.5,9.2525,1518.791,0
,,804,10.0295,1541.397,1
,,813.5,10.8314,1564.002,0
,,823,11.6539,1586.608,0
,,832.5,12.4922,1609.213,0
,,842,13.3409,1631.818,0
,,851.5,14.1944,1654.424,0
,,861,15.0462,1677.029,0
,,870.5,15.8899,1699.635,1
,,880,16.7184,,
,,889.5,17.5247,,
,,899,18.3016,,
,,908.5,19.0418,,
,,918,19.7383,,
,,927.5,20.3841,,
,,937,20.9728,,
,,946.5,21.4982,,
,,956,21.9548,,
,,965.5,22.3377,,
,,975,22.6427,,
,,984.5,22.8665,,
,,994,23.0067,,
,,1003.5,23.0616,,
,,1013,23.0306,,
,,1022.5,22.9141,,
,,1032,22.7135,,
,,1041.5,22.4308,,
,,1051,22.0692,,
,,1060.5,21.6328,,
,,1070,21.126,,
,,1079.5,20.5544,,
,,1089,19.9239,,
,,1098.5,19.2409,,
,,1108,18.5122,,
,,1117.5,17.7448,,
,,1127,16.946,,
,,1136.5,16.1229,,
,,1146,15.2828,,
,,1155.5,14.4325,,
,,1165,13.5789,,
,,1174.5,12.7282,,
,,1184,11.8864,,
,,1193.5,11.059,,
,,1203,10.251,,
,,1212.5,9.46661,,
,,1222,8.70975,,
,,1231.5,7.98359,,
,,1241,7.29075,,
,,1250.5,6.63327,,
,,1260,6.01264,,
,,1269.5,5.4298,,
,,1279,4.88522,,
,,1288.5,4.37891,,
,,1298,3.91047,,
,,1307.5,3.47916,,
,,1317,3.08391,,
,,1326.5,2.72339,,
,,1336,2.39607,,
,,1345.5,2.10025,,
,,1355,1.8341,,
,,1364.5,1.59572,,
,,1374,1.38316,,
,,1383.5,1.19446,,
,,1393,1.02766,,
,,1402.5,0.880867,,
,,1412,0.752234,,
,,1421.5,0.639995,,
,,1431,0.542478,,
,,1440.5,0.458109,,
,,1450,0.385423,,
,,1459.5,0.323063,,
,,1469,0.269786,,
,,1478.5,0.224456,,
,,1488,0.186049,,
,,1497.5,0.153639,,
,,1507,0.126404,,
,,1516.5,0.10361,,
,,1526,0.0846099,,
,,1535.5,0.0688372,,
,,1545,0.0557966,,
,,1554.5,0.0450581,,
,,1564,0.036251,,
,,1573.5,0.0290569,,
,,1583,0.0232038,,
,,1592.5,0.0184608,,
,,1602,0.0146327,,
,,1611.5,0.0115553,,
,,1621,0.0090911,,
,,1630.5,0.00712581,,
,,1640,0.0055646,,
,,1649.5,0.00432928,,
,,1659,0.00335566,,
,,1668.5,0.00259133,,
,,1678,0.00199365,,
,,1687.5,0.00152811,,
,,1697,0.00116693,,
,,1706.5,0.000887801,,
,,1716,0.000672927,,
,,1725.5,0.000508161,,
,,1735,0.000382311,,
,,1744.5,0.000286559,,
