Frequency [Hz] - Fit Points,Amplitude - Fit Points,Frequency [Hz] - Fit Curve,Amplitude - Fit Curve,Frequency [Hz] - Histogram,Amplitude - Histogram
537.732,2.97351E-09,500,7.49954E-10,537.732,10
591.027,1.94368E-08,508,1.00769E-09,591.027,13
644.323,1.1729E-07,516,1.35158E-09,644.323,9
697.619,6.53394E-07,524,1.80955E-09,697.619,1
750.914,3.36025E-06,532,2.41834E-09,750.914,2
1230.575,0.23161,540,3.22613E-09,804.21,0
1283.871,0.535498,548,4.296E-09,857.506,0
1337.167,1.14298,556,5.71037E-09,910.801,0
1390.462,2.25217,564,7.57673E-09,964.097,0
1443.758,4.09678,572,1.0035E-08,1017.393,0
1497.054,6.87963,580,1.32669E-08,1070.688,0
1550.349,10.6652,588,1.75082E-08,1123.984,0
1603.645,15.2634,596,2.30638E-08,1177.28,0
1656.941,20.1658,604,3.03275E-08,1230.575,1
1710.236,24.5958,612,3.98071E-08,1283.871,2
1763.532,27.694,620,5.21558E-08,1337.167,2
1816.828,28.7867,628,6.82122E-08,1390.462,2
1870.123,27.6234,636,8.90512E-08,1443.758,3
1923.419,24.4706,644,1.16047E-07,1497.054,9
1976.715,20.012,652,1.50955E-07,1550.349,12
2030.01,15.1084,660,1.9601E-07,1603.645,13
2083.306,10.5299,668,2.54054E-07,1656.941,23
2136.602,6.77508,676,3.28694E-07,1710.236,29
2189.897,4.02424,684,4.24497E-07,1763.532,24
2243.193,2.20665,692,5.47238E-07,1816.828,32
2616.263,0.00350696,700,7.04198E-07,1870.123,32
,,708,9.04548E-07,1923.419,26
,,716,1.15981E-06,1976.715,21
,,724,1.48442E-06,2030.01,16
,,732,1.89648E-06,2083.306,12
,,740,2.41855E-06,2136.602,12
,,748,3.07879E-06,2189.897,5
,,756,3.91222E-06,2243.193,1
,,764,4.9623E-06,2296.489,0
,,772,6.28292E-06,2349.784,0
,,780,7.94068E-06,2403.08,0
,,788,1.00178E-05,2456.376,0
,,796,1.26154E-05,2509.671,0
,,804,1.58581E-05,2562.967,0
,,812,1.98984E-05,2616.263,1
,,820,2.49231E-05,,
,,828,3.11605E-05,,
,,836,3.88888E-05,,
,,844,4.84465E-05,,
,,852,6.02445E-05,,
,,860,7.47809E-05,,
,,868,9.26577E-05,,
,,876,0.000114601,,
,,884,0.000141487,,
,,892,0.000174365,,
,,900,0.000214497,,
,,908,0.000263391,,
,,916,0.000322848,,
,,924,0.000395014,,
,,932,0.000482441,,
,,940,0.000588159,,
,,948,0.000715752,,
,,956,0.000869456,,
,,964,0.00105427,,
,,972,0.00127606,,
,,980,0.00154174,,
,,988,0.00185937,,
,,996,0.00223842,,
,,1004,0.00268988,,
,,1012,0.00322658,,
,,1020,0.00386339,,
,,1028,0.00461757,,
,,1036,0.00550904,,
,,1044,0.0065608,,
,,1052,0.00779928,,
,,1060,0.00925487,,
,,1068,0.0109623,,
,,1076,0.0129615,,
,,1084,0.0152976,,
,,1092,0.0180223,,
,,1100,0.0211941,,
,,1108,0.0248792,,
,,1116,0.0291525,,
,,1124,0.0340983,,
,,1132,0.0398114,,
,,1140,0.0463981,,
,,1148,0.0539773,,
,,1156,0.0626815,,
,,1164,0.0726582,,
,,1172,0.0840714,,
,,1180,0.0971023,,
,,1188,0.111951,,
,,1196,0.128838,,
,,1204,0.148006,,
,,1212,0.169719,,
,,1220,0.194268,,
,,1228,0.221967,,
,,1236,0.253159,,
,,1244,0.288215,,
,,1252,0.327535,,
,,1260,0.371549,,
,,1268,0.420719,,
,,1276,0.475538,,
,,1284,0.536534,,
,,1292,0.604263,,
,,1300,0.679318,,
,,1308,0.76232,,
,,1316,0.853925,,
,,1324,0.954816,,
,,1332,1.06571,,
,,1340,1.18733,,
,,1348,1.32046,,
,,1356,1.46587,,
,,1364,1.62437,,
